age,workclass,education,marital_status,occupation,race,sex,hours_per_week,income
22,3,5,0,5,0,0,15,0
42,1,4,4,1,0,1,40,1
34,3,3,1,3,1,0,45,0
60,3,5,1,5,0,0,42,0
21,3,2,0,1,0,1,40,0
57,1,7,4,3,0,1,40,1
41,3,6,4,5,0,1,60,1
50,3,4,1,2,0,1,45,0
25,3,5,0,4,0,0,40,0
50,3,1,4,1,0,1,40,0
36,3,5,4,5,0,1,45,0
31,3,2,1,5,0,0,40,0
29,1,5,0,2,0,1,56,0
21,3,4,0,3,0,1,45,0
27,3,5,0,2,1,0,40,0
65,3,2,4,1,0,1,16,0
37,2,5,1,3,0,0,60,0
39,0,7,4,0,1,0,40,0
24,3,2,0,1,0,1,40,0
38,3,2,1,3,0,1,80,0
48,3,5,4,4,0,1,40,1
21,3,4,0,2,1,0,25,0
31,3,2,4,1,0,1,45,1
55,3,2,4,3,0,1,40,1
24,3,4,4,4,1,0,40,0
43,3,2,1,4,0,0,40,0
26,3,3,0,2,0,1,45,0
46,3,3,0,5,0,0,33,0
35,3,3,4,4,0,1,40,1
41,2,4,4,1,0,1,54,1
26,3,5,0,3,0,1,40,0
34,3,7,4,4,1,1,35,1
19,0,4,0,0,1,0,25,0
36,2,5,1,5,1,0,40,1
22,3,4,0,3,0,1,15,0
24,3,4,0,1,0,1,40,0
77,2,4,4,3,0,1,40,0
22,3,1,4,1,0,0,40,0
29,3,4,0,2,0,0,40,0
62,3,2,3,2,0,0,24,0
39,2,2,4,4,0,1,40,0
43,3,4,4,1,0,1,50,0
35,3,2,1,1,0,1,45,0
29,3,1,0,4,0,0,40,0
76,2,7,4,1,0,1,10,0
63,2,2,4,1,0,1,45,0
23,0,3,0,0,1,0,15,0
43,3,4,4,5,0,0,50,1
58,2,2,4,1,0,1,40,0
66,3,2,0,1,0,1,55,0
41,3,4,0,1,1,1,45,0
26,3,5,0,4,0,1,40,0
47,3,3,0,2,0,1,40,0
55,1,1,4,4,0,1,40,0
53,3,2,4,1,0,1,40,0
17,3,1,0,2,0,1,48,0
30,3,2,0,1,0,1,40,0
49,3,7,0,5,0,1,60,0
19,3,2,0,3,1,1,30,0
45,3,2,4,2,1,1,40,0
26,3,3,0,3,0,1,40,0
38,3,3,4,1,0,1,40,1
36,1,2,4,2,0,1,40,1
33,3,2,0,1,0,1,20,0
22,1,4,0,2,1,0,40,0
43,2,5,0,3,0,1,42,0
67,0,1,4,0,0,1,8,0
30,0,3,1,0,0,0,40,0
56,3,3,4,2,0,1,25,0
31,3,5,0,5,0,1,25,0
33,3,5,4,4,0,1,40,1
26,3,2,4,2,0,1,40,0
33,3,5,4,4,0,1,40,1
46,1,1,4,1,0,1,30,0
59,0,5,4,0,0,1,40,1
38,1,2,4,4,0,1,40,1
65,3,1,3,2,1,1,40,0
40,3,3,4,2,0,1,40,1
42,3,2,4,4,0,0,35,0
26,2,1,4,1,0,1,40,0
36,3,1,4,2,0,0,24,0
62,3,7,4,5,0,1,40,1
43,3,5,4,1,0,1,45,0
43,3,5,1,4,0,1,45,1
22,3,2,4,3,0,1,55,0
28,3,2,4,1,0,1,40,0
56,2,4,4,3,0,1,45,0
22,3,3,0,3,0,0,15,0
57,3,5,1,4,0,0,45,1
39,3,2,1,3,0,0,40,0
26,1,4,0,4,0,0,15,0
17,3,1,0,2,0,1,10,0
40,1,3,4,1,0,1,38,1
45,3,2,4,1,1,1,40,0
44,3,2,0,1,1,1,40,0
20,1,4,0,4,0,0,10,0
33,3,2,4,1,0,0,40,0
23,3,4,0,3,0,1,40,0
46,2,7,1,4,0,1,30,0
38,3,2,4,3,0,1,50,0
54,3,2,1,1,0,1,40,0
46,3,1,1,1,0,0,45,0
25,3,4,4,1,0,1,40,0
46,3,4,1,3,0,0,40,0
36,1,4,4,1,0,0,40,0
23,3,2,0,2,0,0,25,0
29,3,2,2,1,0,1,40,0
44,3,4,4,4,0,0,6,1
19,3,4,0,4,0,0,16,0
19,3,2,0,2,0,0,40,0
35,3,2,4,2,0,0,40,1
27,3,5,0,1,0,1,50,0
46,2,3,2,1,0,1,40,0
34,1,5,4,4,0,1,45,1
34,3,2,0,2,0,0,35,0
44,3,4,4,2,0,1,40,0
45,3,4,1,1,0,0,40,0
20,0,2,0,0,0,0,35,0
25,3,5,4,4,0,1,55,1
52,2,5,4,4,0,1,50,1
20,3,4,0,1,0,1,40,0
28,3,4,0,2,0,0,40,0
50,1,5,4,2,0,1,40,1
34,3,3,1,2,0,0,64,0
28,3,1,4,1,1,1,40,0
41,3,7,4,4,0,1,65,1
28,3,2,4,4,0,1,40,0
46,2,2,4,1,0,1,25,0
28,0,4,4,0,0,0,40,1
32,3,4,4,4,0,1,50,0
41,1,4,1,2,1,0,24,0
24,3,2,0,1,1,0,40,0
33,3,4,1,4,0,0,40,0
46,3,8,4,4,0,1,60,1
31,1,4,4,1,0,1,40,0
35,3,1,1,1,0,1,50,1
52,3,1,4,1,0,1,40,0
30,3,1,0,2,0,0,19,0
34,1,1,2,1,1,1,40,0
34,1,2,1,1,0,0,40,0
20,3,4,4,3,0,1,30,0
17,3,1,0,1,0,1,18,0
32,1,5,4,4,0,0,40,1
29,3,2,1,1,0,1,40,0
33,3,1,0,1,0,0,35,0
25,3,2,4,1,0,1,60,0
36,1,7,0,5,0,1,40,0
23,3,2,0,1,0,1,72,0
63,2,2,4,4,0,1,40,1
47,1,7,4,5,0,1,40,0
80,0,2,3,0,0,1,24,0
17,0,1,0,0,0,1,40,0
40,2,5,4,5,0,0,40,0
30,3,3,4,2,0,0,25,1
27,3,4,0,1,1,1,40,0
33,3,7,4,5,0,1,50,1
34,1,2,0,1,1,1,60,0
34,1,4,0,2,0,0,40,0
23,3,4,4,4,0,1,40,0
42,1,4,4,4,0,0,40,0
29,3,5,0,5,0,1,40,0
45,3,2,1,4,0,0,28,0
24,1,2,0,0,0,1,40,0
44,3,4,4,5,0,1,40,1
27,3,1,0,1,0,1,40,0
20,3,4,0,3,0,1,35,0
44,3,2,3,4,1,0,40,0
51,3,2,4,1,1,1,40,0
20,3,2,4,1,0,1,40,0
17,0,1,0,0,0,0,5,0
19,3,2,0,1,1,0,40,0
45,2,4,4,1,0,1,55,1
60,3,2,4,1,0,1,40,1
42,3,3,4,4,1,1,40,1
44,2,2,4,3,0,0,40,1
40,3,3,4,1,1,1,40,1
30,3,2,4,4,0,0,40,0
38,3,4,4,1,1,1,50,0
23,3,2,4,1,0,1,60,0
32,0,4,4,0,0,1,40,0
44,3,3,0,1,0,1,40,0
54,1,2,4,1,1,1,40,0
32,3,5,4,5,0,1,50,0
50,3,1,4,1,0,1,40,0
24,3,5,0,2,0,0,20,0
37,3,2,4,4,0,0,60,0
52,3,2,1,1,0,1,40,0
38,3,4,4,1,0,1,40,0
49,3,7,4,4,0,1,45,1
30,3,5,4,2,0,0,16,1
60,3,4,0,5,0,1,40,1
22,0,4,0,0,0,1,40,0
35,3,2,0,1,0,1,40,0
30,3,2,0,1,0,1,60,0
67,3,3,1,2,0,0,24,0
46,3,5,0,1,0,0,40,0
17,3,1,0,2,0,1,6,0
22,3,4,0,1,0,1,30,0
27,3,1,0,2,0,1,40,0
23,3,2,0,2,0,0,35,0
33,3,3,4,1,0,1,45,0
43,2,4,4,1,0,1,20,0
28,1,5,0,5,0,1,20,0
41,3,2,4,1,0,0,40,0
52,0,1,0,0,1,1,40,0
25,3,4,4,4,1,0,20,0
63,0,1,4,0,0,1,35,0
59,1,2,4,1,0,1,45,0
45,1,5,1,5,0,0,40,0
38,3,5,4,3,0,1,60,1
40,3,2,0,2,0,0,35,0
46,1,2,1,4,0,1,40,0
35,3,3,0,4,0,0,60,0
34,3,2,1,5,0,0,25,0
33,3,5,0,1,0,1,20,0
41,3,2,1,4,0,0,36,0
20,3,4,0,1,0,1,40,0
23,3,1,0,2,0,1,40,0
26,3,4,0,5,0,0,35,0
72,0,2,4,0,0,1,20,0
23,1,2,0,1,0,1,40,0
62,1,2,4,1,0,1,40,0
52,3,4,4,4,0,1,40,0
58,3,4,1,2,0,0,42,0
25,3,5,0,3,0,0,40,0
24,3,5,0,4,1,1,40,0
19,3,4,0,2,0,1,8,0
43,3,4,4,4,0,1,40,0
47,1,2,2,4,1,0,40,0
39,3,2,1,2,0,0,40,0
49,3,3,4,1,0,1,42,0
53,0,1,3,0,1,0,30,0
32,3,3,0,1,0,1,45,0
34,3,4,4,5,0,1,50,1
28,3,2,1,1,0,1,45,0
57,0,3,3,0,0,0,38,0
25,3,4,0,4,1,0,20,0
20,0,4,0,0,0,1,24,0
21,0,4,0,0,0,0,35,0
34,3,5,4,5,0,1,50,1
38,2,5,4,4,0,1,80,1
50,3,2,4,4,0,1,50,1
24,1,4,1,1,1,1,50,0
37,1,4,4,2,0,1,45,1
44,3,4,1,1,0,1,58,1
28,3,4,4,3,0,0,40,0
42,3,5,4,4,0,1,40,1
74,3,4,1,4,0,0,9,0
38,2,2,4,1,0,1,50,0
44,2,7,4,5,0,1,40,0
44,3,1,1,1,1,0,46,0
26,3,2,0,1,0,1,40,0
36,3,2,4,2,1,1,40,0
41,3,3,4,4,0,0,50,1
67,3,6,4,5,0,1,48,1
39,1,1,4,2,0,1,50,0
57,3,1,3,2,1,0,30,0
29,3,3,2,1,0,1,40,0
31,2,5,0,1,0,0,45,0
34,0,2,0,0,1,0,40,0
44,3,4,4,1,0,1,40,0
29,3,8,0,5,0,1,40,0
30,3,4,0,1,0,0,40,0
27,3,2,0,1,0,1,40,0
27,3,4,4,3,0,1,50,0
32,3,2,0,1,0,0,45,0
58,3,1,4,2,0,0,8,0
35,1,4,4,2,0,1,40,0
21,3,2,0,1,0,1,36,0
28,3,4,0,1,0,1,40,0
46,2,4,1,4,0,1,50,0
36,2,2,2,2,0,0,40,0
72,3,1,3,4,0,0,40,0
35,3,2,4,1,1,0,40,0
33,1,3,1,1,1,0,40,1
69,3,1,0,1,0,0,40,0
35,3,2,4,1,0,1,40,0
31,3,2,2,4,0,0,20,0
34,3,2,4,2,0,0,32,0
30,3,1,4,2,0,1,40,0
28,3,5,0,1,0,1,55,0
54,3,5,4,3,0,1,35,1
47,3,4,4,5,0,1,50,1
24,3,2,0,1,1,0,40,0
52,2,5,4,5,0,1,60,1
20,3,2,0,1,1,1,48,0
43,2,7,4,4,0,1,45,0
45,3,1,2,2,0,0,40,0
29,2,2,2,1,0,1,35,0
47,3,7,1,4,0,1,42,0
24,3,2,0,1,0,1,40,0
51,3,2,4,5,0,1,40,0
17,3,1,0,3,0,1,12,0
37,3,3,4,1,0,1,40,1
27,3,8,0,5,0,0,70,0
29,3,5,4,4,0,1,40,1
18,0,1,0,0,0,1,25,0
36,2,3,1,3,0,0,35,0
58,1,5,0,5,0,0,40,0
26,2,4,4,1,0,1,45,0
65,0,4,4,0,0,1,30,1
57,3,2,4,3,0,1,40,1
59,3,2,4,1,0,1,40,0
27,3,2,4,1,0,1,40,0
31,2,5,0,2,0,1,40,0
21,3,4,0,3,0,0,24,0
29,3,4,0,4,0,1,60,0
18,3,1,0,2,0,1,40,0
52,3,1,4,1,0,1,47,1
57,2,5,1,5,0,1,80,0
42,0,2,4,0,0,1,40,0
55,0,2,4,0,1,0,40,0
60,3,1,0,1,0,1,48,1
31,3,5,4,5,0,1,40,1
23,3,5,0,4,0,0,40,0
27,3,2,0,3,0,1,40,0
23,0,4,0,0,1,0,25,0
42,2,6,4,5,0,1,50,1
25,3,4,0,2,0,1,40,0
49,3,5,0,5,0,0,45,0
32,3,5,0,2,0,1,40,0
19,3,4,0,4,0,1,28,0
60,3,1,1,2,0,0,40,0
42,1,1,4,2,0,1,40,0
35,2,3,0,1,0,1,40,0
48,3,2,0,4,1,0,37,0
51,3,7,4,1,0,1,40,1
29,3,2,0,1,1,1,40,0
36,1,2,2,4,1,1,40,0
17,3,1,0,2,0,0,21,0
52,3,7,1,5,0,0,60,0
24,3,2,0,1,0,1,40,0
24,3,2,4,1,0,1,50,0
26,1,5,0,5,0,1,40,0
27,3,5,0,2,0,0,20,0
39,3,2,0,1,0,1,60,0
30,3,2,4,1,1,1,45,0
50,2,2,4,4,0,1,32,0
52,2,5,4,3,0,1,55,0
46,3,6,4,5,0,1,45,1
23,3,5,0,3,0,0,20,0
45,3,1,3,2,1,0,20,0
65,3,1,3,2,1,0,24,0
29,3,3,4,1,0,1,55,0
47,3,1,4,1,0,1,40,0
30,3,2,0,1,1,1,60,0
34,3,2,4,3,0,1,45,1
38,2,2,4,3,0,1,64,0
33,3,4,4,4,0,1,40,1
49,3,5,4,3,0,1,26,1
47,2,4,0,2,1,0,40,0
49,1,1,2,2,1,0,40,0
43,3,4,4,1,0,1,60,1
30,3,5,4,4,1,0,40,1
58,2,2,4,1,0,1,60,0
19,3,2,0,2,0,0,14,0
21,3,5,0,1,0,1,40,0
33,3,5,4,4,0,1,60,1
47,2,1,4,1,0,1,50,0
52,2,8,4,5,0,1,60,1
26,3,2,1,1,0,1,55,0
60,3,2,4,1,0,1,40,0
21,3,4,0,1,0,1,40,0
36,3,4,4,3,0,1,50,1
31,3,4,4,1,0,1,45,0
50,2,8,2,5,0,1,40,1
31,1,2,1,4,0,0,40,0
71,3,2,4,1,0,1,15,0
58,0,2,4,0,0,1,50,0
30,1,5,4,2,0,1,40,1
20,3,4,0,2,0,1,20,0
24,3,2,0,4,0,1,50,0
35,3,8,4,5,1,1,40,1
38,1,4,2,4,0,0,45,0
27,3,2,0,1,0,0,32,0
29,1,4,0,4,1,0,40,0
70,0,1,3,0,0,0,15,0
34,3,2,4,1,0,1,45,0
44,3,1,4,1,0,1,35,0
43,3,2,4,1,0,1,40,1
44,2,1,4,1,1,1,40,1
35,3,7,0,3,0,1,60,0
27,3,4,0,5,0,1,40,0
43,1,7,0,5,0,1,38,0
20,3,4,0,3,0,0,25,0
42,3,3,1,5,0,0,40,1
27,1,4,4,1,0,1,40,0
42,3,2,4,1,1,1,40,1
20,0,1,4,0,1,0,40,0
24,3,1,0,1,0,1,40,0
48,1,4,1,4,0,1,40,0
17,0,1,0,0,0,0,20,0
17,2,1,0,1,0,1,10,0
33,3,5,4,4,0,1,40,1
50,2,2,4,3,0,1,50,1
22,3,2,0,3,0,0,40,0
17,3,1,0,2,0,1,16,0
32,3,4,4,4,0,1,40,0
31,3,2,0,1,0,1,45,0
58,2,2,3,4,0,1,50,0
29,1,2,0,2,0,1,48,0
37,3,3,4,1,0,1,40,1
34,2,2,4,1,0,1,40,1
23,1,4,2,4,1,1,40,0
18,1,1,0,4,0,0,5,0
34,3,2,1,4,0,0,40,0
66,0,1,0,0,0,1,4,0
45,1,5,4,5,0,0,55,0
41,3,7,0,4,0,1,35,0
26,3,2,0,2,0,1,30,0
54,1,4,4,1,0,1,40,0
24,3,4,0,1,1,0,45,0
42,3,4,4,5,0,1,50,0
20,3,4,0,5,0,1,20,0
23,1,5,0,2,0,0,20,0
25,0,3,0,0,0,1,45,0
35,3,7,0,5,0,1,60,1
31,3,7,4,2,0,1,40,1
30,3,5,0,5,0,0,40,0
19,3,2,0,3,0,0,20,0
36,1,5,0,5,0,1,50,0
31,3,5,3,3,0,0,40,0
21,3,4,0,1,0,1,30,0
31,2,4,4,1,0,1,40,0
46,3,8,1,5,0,0,65,1
44,3,5,1,4,0,0,50,1
40,3,1,4,2,1,1,40,0
45,3,4,0,3,1,1,40,0
60,3,2,4,1,0,1,35,0
18,3,1,0,2,0,1,25,0
28,3,5,4,5,0,1,40,0
36,3,4,1,4,1,0,40,0
36,3,5,2,5,0,1,40,0
40,3,3,4,2,0,1,40,0
36,1,5,1,4,0,0,35,0
31,3,2,2,2,1,0,40,0
33,3,2,4,1,0,1,40,0
19,1,2,0,2,0,0,40,0
22,3,4,0,3,0,0,15,0
34,3,5,4,4,0,1,45,1
33,3,2,0,2,0,1,40,0
41,3,2,4,1,0,1,60,0
29,3,5,0,5,0,1,40,0
50,1,2,4,4,0,1,42,1
42,3,5,4,4,0,1,45,1
43,3,5,0,5,0,1,40,1
44,3,2,4,3,0,0,40,0
20,3,4,0,2,0,0,20,0
31,3,2,4,2,0,1,40,0
65,2,1,4,4,0,1,59,1
23,3,4,0,2,0,0,24,0
55,3,4,1,4,1,0,40,0
26,3,3,4,4,0,1,45,0
25,3,3,0,2,0,0,15,0
45,0,4,4,0,1,0,40,0
35,3,4,4,1,0,1,40,0
36,3,4,0,3,1,0,36,0
43,1,5,4,5,0,1,50,0
56,3,2,3,2,1,0,20,0
42,3,5,4,2,0,1,40,1
19,3,4,0,2,0,0,25,0
55,2,2,4,1,0,1,72,0
42,3,7,0,4,0,0,50,1
26,3,3,0,2,0,1,40,0
17,3,1,0,1,0,1,20,0
42,1,5,4,5,0,0,40,1
55,3,2,4,1,0,1,40,1
32,3,4,0,4,1,0,40,0
29,3,1,0,1,1,1,40,0
46,1,5,4,5,0,1,37,0
29,1,5,4,4,0,1,40,1
22,3,5,0,5,0,1,20,0
58,2,1,4,1,0,1,40,0
23,3,2,0,1,0,1,50,0
39,3,2,0,1,0,1,40,0
27,3,3,0,1,0,1,38,0
54,3,2,4,1,0,1,40,1
33,1,5,0,5,0,0,45,0
46,1,2,4,4,0,0,40,1
37,3,2,0,1,1,1,40,0
36,3,2,0,2,0,0,18,0
59,1,2,4,4,0,0,38,1
34,1,2,1,2,0,1,40,0
53,2,8,4,4,0,1,70,1
51,3,5,0,3,0,1,55,1
32,3,1,2,2,0,0,42,0
31,1,4,4,2,0,1,40,0
22,3,4,4,3,0,0,30,0
47,2,5,1,3,0,0,50,0
32,3,2,0,1,0,1,40,0
26,3,4,0,1,0,0,38,0
37,3,1,2,1,0,1,32,0
31,3,2,1,1,0,1,55,0
37,3,3,4,2,0,0,24,1
