age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,annual-income
43,4,237993,12,10,5,1,3,1,2,0,0,40,1,1
46,4,216666,3,3,5,8,3,1,2,0,0,40,21,0
35,4,56352,10,11,5,4,3,1,2,0,0,40,4,0
41,4,147372,9,9,5,9,3,1,2,0,0,48,1,0
30,4,188146,9,9,5,8,3,1,2,5013,0,40,1,0
30,4,59496,13,13,5,13,3,1,2,2407,0,40,1,0
48,4,149640,9,9,5,6,3,1,2,0,0,40,1,0
42,4,116632,16,16,5,12,3,1,2,0,0,45,1,1
29,4,105598,12,10,1,1,4,1,2,0,0,58,1,0
36,4,155537,9,9,5,2,3,1,2,0,0,40,1,0
28,4,183175,12,10,1,9,4,1,1,0,0,40,1,0
53,4,169846,9,9,5,9,1,1,1,0,0,40,1,1
49,3,191681,12,10,5,14,3,1,2,0,0,50,1,1
25,0,200681,12,10,0,0,2,1,2,0,0,40,1,0
19,4,101509,12,10,0,12,2,1,2,0,0,32,1,0
31,4,309974,13,13,2,13,2,5,1,0,0,40,1,0
29,2,162298,13,13,5,13,3,1,2,0,0,70,1,1
23,4,211678,12,10,0,8,4,1,2,0,0,40,1,0
79,4,124744,12,10,5,12,5,1,2,0,0,20,1,0
27,4,213921,9,9,0,4,2,1,2,0,0,40,21,0
40,4,32214,11,12,5,9,3,1,2,0,0,40,1,0
67,0,212759,6,6,5,0,3,1,2,0,0,2,1,0
18,4,309634,7,7,0,4,2,1,1,0,0,22,1,0
31,5,125927,4,4,5,5,3,1,2,0,0,40,1,0
18,4,446839,9,9,0,13,4,1,2,0,0,30,1,0
52,4,276515,13,13,5,4,3,1,2,0,0,40,13,0
46,4,51618,9,9,5,4,1,1,1,0,0,40,1,0
59,4,159937,9,9,5,13,3,1,2,0,0,48,1,0
44,4,343591,9,9,1,2,4,1,1,14344,0,40,1,1
53,4,346253,9,9,1,13,2,1,1,0,0,35,1,0
49,5,268234,9,9,5,10,3,1,2,0,0,40,1,1
33,4,202051,15,14,5,12,3,1,2,0,0,50,1,0
30,4,54334,5,5,0,13,4,1,2,0,0,40,1,0
43,7,410867,16,16,0,12,4,1,1,0,0,50,1,1
57,4,249977,10,11,5,12,3,1,2,0,0,40,1,0
37,4,286730,12,10,1,2,6,1,1,0,0,40,1,0
28,4,212563,12,10,1,8,6,5,1,0,0,25,1,0
34,5,226296,13,13,5,10,3,1,2,0,0,40,1,1
29,5,115585,12,10,0,3,4,1,2,0,0,50,1,0
48,2,191277,16,16,5,12,3,1,2,0,1902,60,1,1
37,4,202683,12,10,5,13,3,1,2,0,0,48,1,1
48,4,171095,11,12,1,14,6,1,1,0,0,40,3,0
32,7,249409,9,9,0,4,2,5,2,0,0,40,1,0
76,4,124191,15,14,5,14,3,1,2,0,0,40,1,1
44,4,198282,13,13,5,14,3,1,2,15024,0,60,1,1
47,2,149116,15,14,0,12,4,1,1,0,0,50,1,0
20,4,188300,12,10,0,1,2,1,1,0,0,40,1,0
29,4,103432,9,9,0,2,4,1,2,0,0,40,1,0
32,3,317660,9,9,5,2,3,1,2,7688,0,40,1,1
17,0,304873,6,6,0,0,2,1,1,34095,0,32,1,0
30,4,194901,7,7,0,3,2,1,2,0,0,40,1,0
31,5,189265,9,9,0,9,4,1,1,0,0,40,1,0
42,4,124692,9,9,5,3,3,1,2,0,0,40,1,0
24,4,432376,13,13,0,13,5,1,2,0,0,40,1,0
38,4,65324,14,15,5,12,3,1,2,0,0,40,1,1
56,2,335605,9,9,5,4,3,1,2,0,1887,50,5,1
28,4,377869,12,10,5,13,1,1,1,4064,0,25,1,0
36,4,102864,9,9,0,8,2,1,1,0,0,40,1,0
53,4,95647,5,5,5,3,3,1,2,0,0,50,1,0
56,3,303090,12,10,5,13,3,1,2,0,0,50,1,0
49,5,197371,10,11,5,2,3,5,2,0,0,40,1,1
55,4,247552,12,10,5,13,3,1,2,0,0,56,1,0
22,4,102632,9,9,0,2,4,1,2,0,0,41,1,0
21,4,199915,12,10,0,4,2,1,1,0,0,40,1,0
40,4,118853,13,13,5,14,3,1,2,0,0,60,1,0
30,4,77143,13,13,0,14,2,5,2,0,0,40,6,0
29,6,267989,13,13,5,12,3,1,2,0,0,50,1,1
19,4,301606,12,10,0,4,2,5,2,0,0,35,1,0
47,4,287828,13,13,5,14,1,1,1,0,0,40,1,1
20,4,111697,12,10,0,9,2,1,1,0,1719,28,1,0
31,4,114937,11,12,5,9,3,1,2,0,0,40,1,1
35,0,129305,9,9,5,0,3,1,2,0,0,40,1,0
39,4,365739,12,10,1,2,4,1,2,0,0,40,1,0
28,4,69621,11,12,0,13,4,1,1,0,0,60,1,0
24,4,43323,9,9,0,4,4,1,1,0,1762,40,1,0
38,2,120985,9,9,5,2,3,1,2,4386,0,35,1,0
37,4,254202,13,13,5,13,3,1,2,0,0,50,1,0
46,4,146195,11,12,1,1,4,5,1,0,0,36,1,0
38,7,125933,15,14,5,12,3,1,2,0,0,40,14,1
43,2,56920,9,9,5,2,3,1,2,0,0,60,1,0
27,4,163127,10,11,5,9,1,1,1,0,0,35,1,0
20,4,34310,12,10,0,13,2,1,2,0,0,20,1,0
49,4,81973,12,10,5,2,3,2,2,0,0,40,1,1
61,3,66614,9,9,5,2,3,1,2,0,0,40,1,0
27,4,232782,12,10,0,13,2,1,1,0,0,40,1,0
19,4,316868,12,10,0,4,2,1,2,0,0,30,21,0
45,4,196584,10,11,0,12,4,1,1,0,1564,40,1,1
70,4,105376,12,10,0,1,5,1,2,0,0,40,1,0
31,4,185814,9,9,0,6,6,5,1,0,0,30,1,0
22,4,175374,12,10,5,4,3,1,2,0,0,24,1,0
36,4,108293,9,9,3,4,6,1,1,0,0,24,1,0
64,4,181232,7,7,5,2,3,1,2,0,2179,40,1,0
43,0,174662,12,10,1,0,4,1,1,0,0,40,1,0
47,5,186009,12,10,1,9,6,1,1,0,0,38,21,0
34,4,198183,9,9,0,9,4,1,1,0,0,40,1,0
33,4,163003,13,13,0,14,5,2,1,0,0,40,16,0
21,4,296158,9,9,0,2,2,1,2,0,0,35,1,0
52,0,252903,9,9,1,0,4,1,2,0,0,45,1,1
48,4,187715,9,9,5,2,3,1,2,0,0,46,1,0
23,4,214542,13,13,0,3,4,1,2,0,0,40,1,0
71,2,494223,12,10,2,13,6,5,2,0,1816,2,1,0
29,4,191535,9,9,1,2,4,1,2,0,0,60,1,0
42,4,228456,13,13,2,4,5,5,2,0,0,50,1,0
68,0,38317,2,2,1,0,4,1,1,0,0,20,1,0
25,4,252752,9,9,0,4,6,1,1,0,0,40,1,0
44,3,78374,15,14,1,14,6,2,1,0,0,40,1,0
28,4,88419,9,9,0,14,4,2,1,0,0,40,3,0
45,2,201080,15,14,5,13,3,1,2,0,0,40,1,1
36,4,207157,12,10,1,4,6,1,1,0,0,40,21,0
39,7,235485,11,12,0,14,4,1,2,0,0,42,1,0
46,6,102628,15,14,3,10,6,1,2,0,0,40,1,0
18,4,25828,7,7,0,3,2,1,2,0,0,16,1,0
66,5,54826,10,11,3,12,4,1,1,0,0,20,1,0
27,4,124953,9,9,0,4,4,1,2,0,1980,40,1,0
28,6,175325,9,9,5,10,3,1,2,0,0,40,1,0
51,4,96062,12,10,5,13,3,1,2,0,1977,40,1,1
27,4,428030,13,13,0,2,4,1,2,0,0,50,1,0
28,6,149624,13,13,5,12,3,1,2,0,0,40,1,1
27,4,253814,9,9,4,13,6,1,1,0,0,25,1,0
21,4,312956,9,9,0,2,2,5,2,0,0,40,1,0
34,4,483777,9,9,0,3,4,5,2,0,0,40,1,0
18,4,183930,9,9,0,4,2,1,2,0,0,12,1,0
33,4,37274,13,13,5,12,3,1,2,0,0,65,1,0
44,5,181344,12,10,5,14,3,5,2,0,0,38,1,1
43,4,114580,12,10,1,9,4,1,1,0,0,40,1,0
30,4,633742,12,10,0,2,4,5,2,0,0,45,1,0
40,4,286370,4,4,5,8,3,1,2,0,0,40,21,1
37,7,29054,12,10,5,9,3,1,2,0,0,42,1,1
34,4,304030,9,9,5,9,3,5,2,0,0,40,1,0
41,2,143129,13,13,1,14,4,1,1,0,0,40,1,0
53,0,135105,13,13,1,0,4,1,1,0,0,50,1,0
31,4,99928,15,14,5,12,1,1,1,0,0,50,1,0
58,6,109567,16,16,5,12,3,1,2,0,0,1,1,1
38,4,155222,12,10,1,8,4,5,1,0,0,28,1,0
24,4,159567,12,10,5,8,3,1,2,0,0,40,1,0
41,5,523910,13,13,5,2,3,5,2,0,0,40,1,0
47,4,120939,12,10,5,1,3,1,2,0,0,45,1,0
41,7,130760,13,13,5,1,3,1,2,0,0,24,1,0
23,4,197387,3,3,5,6,5,1,2,0,0,40,21,0
36,4,99374,12,10,1,2,4,1,2,0,0,40,1,0
40,7,56795,15,14,0,14,4,1,1,14084,0,55,1,1
35,4,138992,15,14,5,12,5,1,2,7298,0,40,1,1
24,2,32921,9,9,0,13,4,1,2,0,0,40,1,0
26,4,397317,15,14,0,12,4,1,1,0,1876,40,1,0
19,0,170653,9,9,0,0,2,1,2,0,0,40,17,0
51,4,259323,13,13,5,14,3,1,2,0,0,50,1,1
42,5,254817,12,10,0,12,4,1,1,0,1340,40,1,0
37,6,48211,9,9,1,9,6,1,1,0,0,35,1,0
18,4,140164,7,7,0,13,2,1,1,0,0,40,1,0
36,4,128757,13,13,5,4,3,5,2,7298,0,36,1,1
35,4,36270,9,9,1,2,4,1,2,0,0,60,1,0
58,3,210563,9,9,5,13,1,1,1,15024,0,35,1,1
17,4,65368,7,7,0,13,2,1,1,0,0,12,1,0
44,5,160943,9,9,5,6,3,5,2,0,0,40,1,0
37,4,208358,9,9,5,2,3,1,2,0,0,40,1,1
35,4,153790,12,10,0,13,4,3,1,0,0,40,1,0
60,4,85815,9,9,5,2,3,2,2,0,0,40,1,0
54,3,125417,4,4,5,8,3,1,2,0,0,40,1,1
37,4,635913,13,13,0,14,4,5,2,0,0,60,1,1
50,4,313321,11,12,1,13,4,1,1,0,0,40,1,0
38,4,182609,13,13,5,13,3,1,2,0,0,50,18,0
45,4,109434,13,13,5,12,3,1,2,0,0,55,1,0
25,4,255004,6,6,0,2,4,1,2,0,0,40,1,0
31,4,197860,12,10,5,3,3,1,2,0,0,40,1,0
64,0,187656,2,2,1,0,4,1,2,0,0,40,1,0
90,4,51744,9,9,0,4,4,5,2,0,2206,40,1,0
54,4,176681,9,9,5,9,3,5,2,0,0,20,1,0
53,5,140359,1,1,0,8,4,1,1,0,0,35,1,0
18,4,243313,9,9,0,13,2,1,1,0,0,40,1,0
60,0,24215,6,6,1,0,4,3,1,0,0,10,1,0
66,2,167687,9,9,5,5,3,1,2,1409,0,50,1,0
75,4,314209,10,11,3,9,4,1,1,0,0,20,30,0
65,4,176796,9,9,1,9,4,1,1,0,0,40,1,0
35,4,538583,7,7,2,6,4,5,2,3674,0,40,1,0
41,4,130408,9,9,1,13,6,5,1,0,0,38,1,0
25,4,159732,12,10,0,9,4,1,2,0,0,42,1,0
33,4,110978,12,10,1,2,5,4,1,0,0,40,1,0
28,4,76714,14,15,0,12,4,1,2,0,0,55,1,1
59,6,268700,9,9,5,4,3,1,2,0,0,40,1,0
40,6,170525,12,10,0,9,4,1,1,0,0,38,1,0
41,4,180138,13,13,5,14,3,1,2,0,0,50,14,1
38,5,115076,15,14,5,14,3,1,2,0,0,70,1,1
23,4,115458,9,9,0,6,2,1,2,0,0,40,1,0
40,4,347890,13,13,5,12,3,1,2,0,0,40,1,1
41,2,196001,9,9,5,4,1,1,1,0,0,20,1,0
24,6,273905,11,12,5,10,3,1,2,0,0,50,1,0
20,0,119156,12,10,0,0,2,1,2,0,0,20,1,0
38,4,179488,12,10,1,2,4,1,2,0,1741,40,1,0
58,4,236596,9,9,5,9,3,1,2,0,0,45,1,1
32,4,183916,9,9,0,4,4,1,1,0,0,34,1,0
40,4,207578,11,12,5,1,3,1,2,0,1977,60,1,1
41,4,112763,14,15,5,12,1,1,1,0,0,40,1,1
42,4,390781,13,13,5,9,1,5,1,0,0,40,1,0
59,5,171328,6,6,3,4,6,5,1,0,0,30,1,0
19,5,27382,12,10,0,9,2,1,2,0,0,40,1,0
58,4,259014,12,10,0,6,4,1,2,0,0,20,1,0
42,2,303044,9,9,5,5,3,2,2,0,0,40,2,1
20,4,117789,9,9,0,4,2,1,1,0,0,40,1,0
32,4,172579,9,9,2,4,4,1,1,0,0,30,1,0
45,4,187666,10,11,3,14,4,1,1,0,0,45,1,0
50,4,204518,4,4,1,2,4,1,2,0,0,40,1,0
36,4,150042,13,13,1,12,2,1,1,0,0,40,1,0
45,4,98092,9,9,5,13,3,1,2,0,0,60,1,0
17,4,245918,7,7,0,4,2,1,2,0,0,12,1,0
59,4,146013,12,10,5,13,3,1,2,4064,0,40,1,0
26,4,378322,7,7,5,2,3,1,2,0,0,40,1,0
37,3,257295,12,10,5,14,3,2,2,0,0,75,35,1
19,0,218956,12,10,0,0,2,1,2,0,0,24,5,0
64,4,21174,9,9,5,14,3,1,2,0,0,40,1,1
33,4,185480,13,13,0,12,4,1,1,0,0,45,1,0
33,4,222205,9,9,5,2,1,1,1,0,0,40,1,1
61,4,69867,9,9,5,14,3,1,2,0,0,40,1,1
17,4,191260,5,5,0,4,2,1,2,1055,0,24,1,0
50,2,30653,15,14,5,5,3,1,2,2407,0,98,1,0
27,5,209109,15,14,0,12,2,1,2,0,0,35,1,0
30,4,70377,9,9,1,12,2,1,1,0,0,40,1,0
43,4,477983,9,9,5,3,3,5,2,0,0,40,1,0
44,4,170924,12,10,5,2,3,1,2,7298,0,40,1,1
35,4,190174,12,10,0,14,4,1,1,0,0,40,1,0
25,4,193787,12,10,0,1,2,1,1,0,0,40,1,0
24,4,279472,12,10,5,8,1,1,1,7298,0,48,1,1
22,4,34918,13,13,0,12,4,1,1,0,0,15,6,0
42,5,97688,12,10,5,2,3,1,2,5178,0,40,1,1
34,4,175413,11,12,1,13,6,5,1,0,0,45,1,0
60,4,173960,13,13,1,12,4,1,1,0,0,42,1,0
21,4,205759,9,9,0,3,2,1,2,0,0,40,1,0
57,7,425161,15,14,5,13,3,1,2,15024,0,40,1,1
41,4,220531,14,15,5,12,3,1,2,0,0,60,1,1
50,4,176609,12,10,1,4,4,1,2,0,0,45,1,0
25,4,371987,13,13,0,14,4,1,1,0,0,40,1,0
50,4,193884,4,4,5,2,3,1,2,0,0,40,27,0
36,4,200352,13,13,5,12,3,1,2,0,0,45,1,0
31,4,127595,9,9,1,12,4,1,1,0,0,40,1,0
29,5,220419,13,13,0,10,4,1,2,0,0,56,1,0
21,4,231931,12,10,0,13,2,1,2,0,0,45,1,0
27,4,248402,13,13,0,1,6,5,1,0,0,40,1,0
65,4,111095,9,9,5,6,3,1,2,0,0,16,1,0
37,3,57424,13,13,1,13,4,1,1,0,0,60,1,0
24,4,278130,9,9,0,2,2,1,2,0,0,40,1,0
38,4,169469,9,9,1,13,4,1,2,0,0,80,1,0
48,4,146268,13,13,5,9,3,1,2,7688,0,40,1,1
21,4,153718,12,10,0,4,4,2,1,0,0,25,1,0
31,4,217460,9,9,5,6,3,1,2,0,0,45,1,1
55,4,238638,9,9,5,13,3,1,2,4386,0,40,1,1
24,4,303296,12,10,5,9,1,2,1,0,0,40,26,0
43,4,173321,9,9,1,9,4,1,1,0,0,40,1,0
26,4,193945,11,12,0,1,4,1,2,0,0,45,1,0
46,4,83082,11,12,0,12,4,1,1,0,0,33,1,0
35,4,193815,11,12,5,9,3,1,2,0,0,40,1,1
41,3,34987,12,10,5,5,3,1,2,0,0,54,1,1
26,4,59306,13,13,0,13,4,1,2,0,0,40,1,0
34,4,142897,15,14,5,14,3,2,2,7298,0,35,28,1
19,0,860348,12,10,0,0,2,5,1,0,0,25,1,0
36,2,205607,13,13,1,12,4,5,1,0,0,40,1,1
22,4,199698,12,10,0,13,2,1,2,0,0,15,1,0
24,4,191954,12,10,0,8,4,1,2,0,0,40,1,0
77,2,138714,12,10,5,13,3,1,2,0,0,40,1,0
22,4,399087,3,3,5,8,5,1,1,0,0,40,21,0
29,4,423158,12,10,0,1,4,1,1,0,0,40,1,0
62,4,159841,9,9,3,4,4,1,1,0,0,24,1,0
39,2,174308,9,9,5,14,3,1,2,0,0,40,1,0
43,4,50356,12,10,5,2,3,1,2,0,1485,50,1,0
35,4,186110,9,9,1,6,4,1,2,0,0,45,1,0
29,4,200381,7,7,0,14,4,1,1,0,0,40,1,0
76,2,174309,15,14,5,2,3,1,2,0,0,10,1,0
63,2,78383,9,9,5,5,3,1,2,0,0,45,1,0
23,0,211601,10,11,0,0,2,5,1,0,0,15,1,0
43,4,187728,12,10,5,12,1,1,1,0,1887,50,1,1
58,2,321171,9,9,5,3,3,1,2,0,0,40,1,0
66,4,127921,9,9,0,6,4,1,2,2050,0,55,1,0
41,4,206565,12,10,0,2,4,5,2,0,0,45,1,0
26,4,224563,13,13,0,9,4,1,2,0,0,40,1,0
47,4,178686,10,11,0,4,4,1,2,0,0,40,1,0
55,5,98545,6,6,5,9,3,1,2,0,0,40,1,0
53,4,242606,9,9,5,6,3,1,2,0,0,40,1,0
17,4,270942,3,3,0,4,5,1,2,0,0,48,21,0
30,4,94235,9,9,0,2,5,1,2,0,0,40,1,0
49,4,71195,15,14,0,12,4,1,2,0,0,60,1,0
19,4,104112,9,9,0,13,6,5,2,0,0,30,29,0
45,4,261192,9,9,5,4,3,5,2,0,0,40,1,0
26,4,94936,11,12,0,13,4,1,2,0,0,40,1,0
38,4,296478,10,11,5,2,3,1,2,7298,0,40,1,1
36,6,119272,9,9,5,10,3,1,2,7298,0,40,1,1
33,4,85043,9,9,0,5,4,1,2,0,0,20,1,0
22,6,293364,12,10,0,10,2,5,1,0,0,40,1,0
43,2,241895,13,13,0,13,4,1,2,0,0,42,1,0
67,0,36135,7,7,5,0,3,1,2,0,0,8,1,0
30,0,151989,10,11,1,0,6,1,1,0,0,40,1,0
56,4,101128,11,12,4,4,4,1,2,0,0,25,14,0
31,4,156464,13,13,0,12,2,1,2,0,0,25,1,0
33,4,117963,13,13,5,14,3,1,2,0,0,40,1,1
26,4,192262,9,9,5,4,3,1,2,0,0,40,1,0
33,4,111363,13,13,5,14,3,1,2,0,0,40,1,1
46,5,329752,7,7,5,6,3,1,2,0,0,30,1,0
59,0,372020,13,13,5,0,3,1,2,0,0,40,1,1
38,7,95432,9,9,5,9,3,1,2,0,0,40,1,1
65,4,161400,7,7,3,4,6,4,2,0,0,40,1,0
40,4,96129,10,11,5,1,3,1,2,0,0,40,1,1
42,4,111949,9,9,5,9,1,1,1,0,0,35,1,0
26,2,117125,5,5,5,2,3,1,2,0,0,40,22,0
36,4,348022,6,6,5,4,1,1,1,0,0,24,1,0
62,4,270092,15,14,5,12,3,1,2,0,0,40,1,1
43,4,180609,13,13,5,6,3,1,2,0,0,45,1,0
43,4,174575,13,13,1,14,4,1,2,0,1564,45,1,1
22,4,410439,9,9,4,13,4,1,2,0,0,55,1,0
28,4,92262,9,9,5,2,3,1,2,0,0,40,1,0
56,2,183081,12,10,5,13,3,1,2,0,0,45,1,0
22,4,362589,11,12,0,13,4,1,1,0,0,15,1,0
57,4,212448,13,13,1,14,4,1,1,0,0,45,1,1
39,4,481060,9,9,1,13,6,1,1,0,0,40,1,0
26,7,185885,12,10,0,9,6,1,1,0,0,15,1,0
17,4,89821,7,7,0,4,2,1,2,0,0,10,1,0
40,6,184018,10,11,5,8,3,1,2,0,0,38,1,1
45,4,256649,9,9,5,8,3,5,2,0,0,40,1,0
44,4,160323,9,9,0,2,4,5,2,0,0,40,1,0
20,5,350845,12,10,0,9,2,1,1,0,0,10,1,0
33,4,267404,9,9,5,2,1,1,1,0,0,40,1,0
23,4,35633,12,10,0,13,4,1,2,0,0,40,1,0
46,2,80914,15,14,1,14,4,1,2,0,0,30,1,0
38,4,172927,9,9,5,13,3,1,2,0,0,50,1,0
54,4,174319,9,9,1,6,4,1,2,0,0,40,1,0
46,4,214955,3,3,1,2,4,1,1,0,2339,45,1,0
25,4,344991,12,10,5,2,3,1,2,0,0,40,1,0
46,4,108699,12,10,1,13,4,1,1,0,0,40,1,0
36,5,117312,12,10,5,6,1,1,1,0,0,40,1,0
23,4,396099,9,9,0,4,4,1,1,0,0,25,1,0
29,4,134152,9,9,2,8,4,1,2,0,0,40,1,0
44,4,162028,12,10,5,9,1,1,1,0,2415,6,1,1
19,4,25429,12,10,0,9,2,1,1,0,0,16,1,0
19,4,232392,9,9,0,4,5,1,1,0,0,40,1,0
35,4,220098,9,9,5,4,1,1,1,0,0,40,1,1
27,4,301302,13,13,0,2,4,1,2,0,0,50,1,0
46,2,277946,11,12,2,2,4,1,2,0,0,40,1,0
34,4,196164,9,9,0,4,4,1,1,0,0,35,1,0
44,4,115562,12,10,5,1,3,1,2,0,0,40,1,0
45,4,96975,12,10,1,3,6,1,1,0,0,40,1,0
20,0,137300,9,9,0,0,5,1,1,0,0,35,1,0
25,4,86872,13,13,5,14,3,1,2,0,0,55,1,1
52,3,132178,13,13,5,14,3,1,2,0,0,50,1,1
20,4,416103,12,10,0,3,2,1,2,0,0,40,1,0
28,4,108574,12,10,0,4,4,1,1,0,0,40,1,0
50,6,288353,13,13,5,10,3,1,2,0,0,40,1,1
34,4,227689,10,11,1,1,4,1,1,0,0,64,1,0
28,4,166481,4,4,5,3,3,4,2,0,2179,40,4,0
41,4,445382,15,14,5,14,3,1,2,0,1977,65,1,1
28,4,110145,9,9,5,9,3,1,2,0,0,40,1,0
46,2,317253,9,9,5,2,3,1,2,0,0,25,1,0
28,0,123147,12,10,5,0,1,1,1,0,1887,40,1,1
32,4,364657,12,10,5,14,3,1,2,0,0,50,1,0
41,5,42346,12,10,1,4,4,5,1,0,0,24,1,0
24,4,241951,9,9,0,3,6,5,1,0,0,40,1,0
33,4,118500,12,10,1,14,6,1,1,0,0,40,1,0
46,4,188386,16,16,5,14,3,1,2,15024,0,60,1,1
31,6,1033222,12,10,5,8,3,1,2,0,0,40,1,0
35,4,92440,8,8,1,2,4,1,2,0,0,50,1,1
52,4,190762,2,2,5,8,3,1,2,0,0,40,21,0
30,4,426017,7,7,0,4,2,1,1,0,0,19,1,0
34,5,243867,7,7,2,8,4,5,2,0,0,40,1,0
34,6,240283,9,9,1,6,6,1,1,0,0,40,1,0
20,4,61777,12,10,5,13,3,1,2,0,0,30,1,0
17,4,175024,7,7,0,3,2,1,2,2176,0,18,1,0
32,6,92003,13,13,5,14,1,1,1,0,0,40,1,1
29,4,188401,9,9,1,5,4,1,2,0,0,40,1,0
33,4,228528,6,6,0,2,6,1,1,0,0,35,1,0
25,4,133373,9,9,5,6,3,1,2,0,0,60,1,0
36,7,255191,15,14,0,12,4,1,2,0,1408,40,1,0
23,4,204653,9,9,0,3,4,1,2,0,0,72,25,0
63,3,222289,9,9,5,14,3,1,2,0,0,40,1,1
47,5,287480,15,14,5,12,3,1,2,0,0,40,1,0
80,0,107762,9,9,3,0,4,1,2,0,0,24,1,0
17,0,202521,7,7,0,0,2,1,2,0,0,40,1,0
40,2,204116,13,13,4,12,4,1,1,2174,0,40,1,0
30,4,29662,11,12,5,4,1,1,1,0,0,25,1,1
27,4,116358,12,10,0,2,2,2,2,0,1980,40,16,0
33,4,208405,15,14,5,12,3,1,2,0,0,50,1,1
34,5,284843,9,9,0,5,4,5,2,594,0,60,1,0
34,5,117018,12,10,0,10,4,1,1,0,0,40,1,0
23,4,81281,12,10,5,9,3,1,2,0,0,40,1,0
42,5,340148,12,10,5,9,1,1,1,0,0,40,1,0
29,4,363425,13,13,0,12,4,1,2,0,0,40,1,0
45,4,45857,9,9,1,9,4,1,1,0,0,28,1,0
24,7,191073,9,9,0,11,2,1,2,0,0,40,1,0
44,4,116632,12,10,5,12,3,1,2,0,0,40,1,1
27,4,405855,5,5,0,2,5,1,2,0,0,40,21,0
20,4,298227,12,10,0,13,4,1,2,0,0,35,1,0
44,4,290521,9,9,3,14,6,5,1,0,0,40,1,0
51,4,56915,9,9,5,2,3,3,2,0,0,40,1,0
20,4,146538,9,9,5,8,3,1,2,0,0,40,1,0
17,0,258872,7,7,0,0,2,1,1,0,0,5,1,0
19,4,206399,9,9,0,8,2,5,1,0,0,40,1,0
45,3,197332,12,10,5,2,3,1,2,0,0,55,1,1
60,4,245062,9,9,5,2,3,1,2,0,0,40,1,1
44,2,234885,9,9,5,13,1,1,1,0,0,40,1,1
